# Dictionary generated from iliad.txt
# Words with counts >= 10 and < 100
# Total unique words matching: 2143
# Format: word	count

the	14318
and	6494
of	4133
to	3857
d	3250
his	3218
in	2747
with	2300
a	1931
he	1575
s	1484
from	1323
on	1238
their	976
thy	944
by	878
all	874
but	850
as	810
that	778
for	750
my	732
this	711
her	699
i	690
o	665
or	632
thus	613
at	602
they	588
then	587
is	567
now	560
not	558
our	525
him	517
shall	492
arms	447
so	446
er	443
hector	442
jove	429
great	425
what	423
no	420
be	407
when	406
was	402
achilles	390
nor	378
it	366
war	364
through	362
who	355
troy	351
thou	350
these	327
are	318
god	316
where	312
son	307
gods	303
more	302
heaven	301
yet	298
if	288
which	285
while	285
day	276
one	274
your	274
let	272
some	266
chief	259
fight	258
we	257
hand	256
first	255
plain	251
she	246
me	245
vain	244
eyes	240
each	235
fate	233
high	233
such	228
trojan	227
there	226
greece	225
whose	222
thee	216
field	213
before	209
greeks	209
king	209
force	208
an	206
like	203
those	201
had	200
said	198
rage	195
race	193
you	191
ground	189
hero	189
round	188
man	186
long	185
may	185
breast	184
death	183
were	177
whom	177
slain	176
around	173
fall	173
bold	170
foe	170
dead	169
arm	168
brave	167
shore	167
still	165
blood	163
skies	163
fierce	160
head	160
ajax	159
soul	159
grecian	158
patroclus	158
train	158
every	157
far	157
have	156
till	155
fair	154
can	153
them	153
spoke	151
care	150
heart	150
way	148
friend	146
men	146
stood	146
sacred	144
flies	143
steeds	143
father	142
once	142
swift	141
ye	141
divine	138
earth	138
own	138
see	138
spear	135
host	133
warrior	133
fame	132
its	132
here	131
last	131
hands	130
power	130
will	130
along	129
beneath	129
fear	128
full	128
fury	127
sire	127
fields	126
has	126
must	126
p	126
well	126
mighty	124
heroes	123
lay	123
next	123
shield	123
two	122
hear	121
lance	119
night	119
car	117
stand	117
though	117
trojans	117
ships	116
ulysses	116
above	115
prize	115
proud	115
chiefs	114
fell	114
glory	114
side	114
walls	114
dreadful	113
goddess	113
battle	112
wound	112
deep	111
life	111
lost	110
main	110
name	110
mind	109
powers	109
should	109
sons	109
fly	108
dust	107
lies	107
monarch	107
than	107
even	105
tis	105
air	104
mortal	104
art	103
might	103
troops	103
bear	102
view	101
youth	101
coursers	100
fire	100
rise	100
how	99
rest	99
stern	99
too	98
trembling	98
voice	98
e	97
golden	97
led	97
nestor	97
obey	97
aid	96
generous	96
old	96
wide	96
chariot	95
ilion	95
priam	95
return	95
wall	95
flight	94
gave	94
forth	93
gutenberg	93
left	93
strong	93
atrides	92
light	92
stands	92
came	91
fix	91
immortal	91
crown	90
turn	90
away	89
bore	89
javelin	89
sight	89
words	89
bow	88
bright	88
combat	87
sad	87
us	87
call	86
alone	85
brother	85
project	85
strength	85
age	84
command	84
dart	84
fleet	84
part	84
spread	84
whole	84
ever	83
gore	83
honour	83
heavenly	82
silver	82
slaughter	82
flew	81
gold	81
pass	81
sent	81
work	81
form	80
length	80
martial	80
new	80
only	80
behind	79
down	79
glorious	79
just	79
bands	78
close	78
country	78
could	77
go	77
know	77
rising	77
upon	77
both	76
found	76
join	76
near	76
other	76
pierced	76
godlike	75
loud	75
love	75
many	75
oh	75
pallas	75
roll	75
appear	74
body	74
give	74
heard	74
himself	74
black	73
juno	73
mother	73
